grade,headword,homograph,pos,guide,band
1,전화,0,명사,전화를 걸다,초급
1,전화번호,0,명사,집 전화번호,초급
1,점심,0,명사,점심에 만나다,초급
1,정류장,0,명사,버스 정류장,초급
1,정말,1,명사,정말 좋다,초급
1,정말,2,부사,정말 좋다,초급
1,제,1,대명사,,초급
1,제일,2,명사,제일 좋아하다,초급
1,제일,3,부사,제일 좋아하다,초급
1,제주도,1,명사,지명,초급
1,조금,1,명사,조금 먹다,초급
1,조금,2,부사,조금 먹다,초급
1,조용하다,0,형용사,집이 조용하다,초급
1,졸업,0,명사,대학교 졸업,초급
1,좀,0,부사,좀 비싸다,초급
1,종업원,0,명사,식당 종업원,초급
1,좋다,0,형용사,품질이 좋다,초급
1,좋아하다,0,동사,꽃을 좋아하다,초급
1,죄송하다,0,형용사,죄송한 마음,초급
1,주,4,명사,이번 주,초급
1,주,6,의존명사,이번 주,초급
1,주다,1,동사,선물을 주다,초급
1,주로,0,부사,주로 말하다,초급
1,주말,0,명사,주말을 보내다,초급
1,주무시다,0,동사,낮잠을 주무시다,초급
1,주부,0,명사,주부의 삶,초급
1,주소,0,명사,주소를 옮기다,초급
1,주스,0,명사,주스를 마시다,초급
1,주인,0,명사,가게 주인,초급
1,주일,2,명사,이번 주일,초급
1,주일,3,의존명사,이번 주일,초급
1,준비,0,명사,출근 준비,초급
1,중,3,의존명사,회의 중,초급
1,중국,0,명사,나라,초급
1,지갑,0,명사,동전 지갑,초급
1,지금,1,명사,지금부터,초급
1,지금,2,부사,지금부터,초급
1,지나다,0,동사,자정이 지나다,초급
1,지난달,0,명사,지난달 중순,초급
1,지난주,0,명사,지난주에 만나다,초급
1,지난해,0,명사,지난해에 만나다,초급
1,지내다,0,동사,잘 지내다,초급
1,지우개,0,명사,지우개로 지우다,초급
1,지하철,0,명사,지하철을 타다,초급
1,지하철역,0,명사,지하철역에 도착하다,초급
